5 Minutes	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
03/18/2014 00:00	66	68	3	100
03/18/2014 00:05	56	68.9	3	100
03/18/2014 00:10	49	67.3	3	100
03/18/2014 00:15	65	64.5	3	100
03/18/2014 00:20	51	64.8	3	100
03/18/2014 00:25	41	65.8	3	100
03/18/2014 00:30	49	65.2	3	100
03/18/2014 00:35	35	67.1	3	100
03/18/2014 00:40	41	65.7	3	100
03/18/2014 00:45	46	64.8	3	100
03/18/2014 00:50	40	63.9	3	100
03/18/2014 00:55	43	63.1	3	100
03/18/2014 01:00	36	65.2	3	100
03/18/2014 01:05	26	63.5	3	100
03/18/2014 01:10	41	67.2	3	100
03/18/2014 01:15	21	62.2	3	100
03/18/2014 01:20	27	67.1	3	100
03/18/2014 01:25	38	67.1	3	100
03/18/2014 01:30	60	69.3	3	100
03/18/2014 01:35	36	68.1	3	100
03/18/2014 01:40	30	68.2	3	100
03/18/2014 01:45	35	67.8	3	100
03/18/2014 01:50	35	69.6	3	100
03/18/2014 01:55	31	71.5	3	100
03/18/2014 02:00	18	68.3	3	100
03/18/2014 02:05	21	67.8	3	100
03/18/2014 02:10	19	62.9	3	100
03/18/2014 02:15	27	65.3	3	100
03/18/2014 02:20	25	63.2	3	100
03/18/2014 02:25	24	64.6	3	100
03/18/2014 02:30	23	66	3	100
03/18/2014 02:35	26	63.5	3	100
03/18/2014 02:40	25	63.8	3	100
03/18/2014 02:45	21	65.3	3	100
03/18/2014 02:50	28	65.2	3	100
03/18/2014 02:55	25	66.9	3	100
03/18/2014 03:00	24	65	3	100
03/18/2014 03:05	18	62.1	3	100
03/18/2014 03:10	24	64.4	3	100
03/18/2014 03:15	16	61.9	3	100
03/18/2014 03:20	28	62.1	3	100
03/18/2014 03:25	20	60.8	3	100
03/18/2014 03:30	23	65.2	3	100
03/18/2014 03:35	27	63.5	3	100
03/18/2014 03:40	23	58.8	3	100
03/18/2014 03:45	23	57.8	3	100
03/18/2014 03:50	21	54.4	3	100
03/18/2014 03:55	28	60.4	3	100
03/18/2014 04:00	12	52	3	100
03/18/2014 04:05	25	59.8	3	100
03/18/2014 04:10	24	61.5	3	100
03/18/2014 04:15	31	60	3	100
03/18/2014 04:20	31	63.5	3	100
03/18/2014 04:25	39	59.5	3	100
03/18/2014 04:30	41	65.1	3	100
03/18/2014 04:35	33	62.4	3	100
03/18/2014 04:40	42	66.8	3	100
03/18/2014 04:45	49	62.9	3	100
03/18/2014 04:50	40	63.7	3	100
03/18/2014 04:55	35	63.3	3	100
03/18/2014 05:00	46	63.7	3	100
03/18/2014 05:05	55	65	3	100
03/18/2014 05:10	60	62.2	3	100
03/18/2014 05:15	62	68.8	3	100
