Timestamp	Occ (%)	Flow (Veh/5min)	# Lane Points	% Observed
03/13/2014 00:00:00	.011	43	3	100
03/13/2014 00:05:00	.0099	40	3	100
03/13/2014 00:10:00	.0085	33	3	100
03/13/2014 00:15:00	.0099	40	3	100
03/13/2014 00:20:00	.0082	30	3	100
03/13/2014 00:25:00	.0122	47	3	100
03/13/2014 00:30:00	.0099	39	3	100
03/13/2014 00:35:00	.0087	33	3	100
03/13/2014 00:40:00	.0062	25	3	100
03/13/2014 00:45:00	.0061	24	3	100
03/13/2014 00:50:00	.0083	33	3	100
03/13/2014 00:55:00	.0058	21	3	100
03/13/2014 01:00:00	.0049	18	3	100
03/13/2014 01:05:00	.0063	23	3	100
03/13/2014 01:10:00	.0064	24	3	100
03/13/2014 01:15:00	.0091	32	3	100
03/13/2014 01:20:00	.0075	29	3	100
03/13/2014 01:25:00	.0068	25	3	100
03/13/2014 01:30:00	.0055	21	3	100
03/13/2014 01:35:00	.0061	21	3	100
03/13/2014 01:40:00	.0091	32	3	100
03/13/2014 01:45:00	.0072	26	3	100
03/13/2014 01:50:00	.0058	21	3	100
03/13/2014 01:55:00	.0051	19	3	100
03/13/2014 02:00:00	.0068	25	3	100
03/13/2014 02:05:00	.0049	18	3	100
03/13/2014 02:10:00	.0062	22	3	100
03/13/2014 02:15:00	.0077	28	3	100
03/13/2014 02:20:00	.0065	24	3	100
03/13/2014 02:25:00	.0077	28	3	100
03/13/2014 02:30:00	.0083	30	3	100
03/13/2014 02:35:00	.0106	38	3	100
03/13/2014 02:40:00	.01	38	3	100
03/13/2014 02:45:00	.0098	36	3	100
03/13/2014 02:50:00	.0102	37	3	100
03/13/2014 02:55:00	.0097	35	3	100
03/13/2014 03:00:00	.0062	22	3	100
03/13/2014 03:05:00	.0103	38	3	100
03/13/2014 03:10:00	.0098	37	3	100
03/13/2014 03:15:00	.0063	24	3	100
03/13/2014 03:20:00	.0097	36	3	100
03/13/2014 03:25:00	.014	54	3	100
03/13/2014 03:30:00	.0137	51	3	100
03/13/2014 03:35:00	.0122	45	3	100
03/13/2014 03:40:00	.0137	50	3	100
03/13/2014 03:45:00	.0183	68	3	100
03/13/2014 03:50:00	.0195	71	3	100
03/13/2014 03:55:00	.0179	66	3	100
03/13/2014 04:00:00	.0148	58	3	100
03/13/2014 04:05:00	.0195	72	3	100
03/13/2014 04:10:00	.0228	84	3	100
03/13/2014 04:15:00	.0288	110	3	100
03/13/2014 04:20:00	.0323	124	3	100
03/13/2014 04:25:00	.04	154	3	100
03/13/2014 04:30:00	.0419	165	3	100
03/13/2014 04:35:00	.042	165	3	100
03/13/2014 04:40:00	.0469	184	3	100
03/13/2014 04:45:00	.0412	156	3	100
03/13/2014 04:50:00	.0434	165	3	100
03/13/2014 04:55:00	.058	225	3	100
03/13/2014 05:00:00	.0437	172	3	100
03/13/2014 05:05:00	.051	199	3	100
03/13/2014 05:10:00	.0589	226	3	100
03/13/2014 05:15:00	.0682	262	3	100
03/13/2014 05:20:00	.0633	247	3	100
03/13/2014 05:25:00	.0726	284	3	100
03/13/2014 05:30:00	.0715	276	3	100
03/13/2014 05:35:00	.0851	331	3	100
03/13/2014 05:40:00	.0647	248	3	100
03/13/2014 05:45:00	.0693	270	3	100
03/13/2014 05:50:00	.07	273	3	100
03/13/2014 05:55:00	.0693	267	3	100
03/13/2014 06:00:00	.0757	293	3	100
03/13/2014 06:05:00	.0778	296	3	100
03/13/2014 06:10:00	.0795	301	3	100
03/13/2014 06:15:00	.0819	305	3	100
03/13/2014 06:20:00	.0899	336	3	100
03/13/2014 06:25:00	.0919	341	3	100
03/13/2014 06:30:00	.1036	372	3	100
03/13/2014 06:35:00	.0894	335	3	100
03/13/2014 06:40:00	.1093	398	3	100
03/13/2014 06:45:00	.1095	401	3	100
03/13/2014 06:50:00	.0966	357	3	100
03/13/2014 06:55:00	.1008	372	3	100
03/13/2014 07:00:00	.0938	353	3	100
03/13/2014 07:05:00	.1034	384	3	100
03/13/2014 07:10:00	.0927	353	3	100
03/13/2014 07:15:00	.106	390	3	100
03/13/2014 07:20:00	.1172	429	3	100
03/13/2014 07:25:00	.1303	489	3	100
03/13/2014 07:30:00	.1142	422	3	100
03/13/2014 07:35:00	.1062	402	3	100
