ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
311831	5	S	3	67		10.859	506.152	38.409253	-121.484009		OR	1	Elk Grove Blvd	TA-70			
311832	5	S	3	67		11.083	506.376	38.41246	-121.48468		FR	1	Elk Grove Blvd	TA-70			
311844	5	N	3	67		11.13	506.423	38.413138	-121.484436		OR	3	WB Elk Grove Blvd	TA-72			
311845	5	N	3	67		10.644	505.937	38.406175	-121.483002		FR	1	Elk Grove Blvd	TA-72			
311847	5	N	3	67		12.128	507.421	38.427441	-121.487404		OR	3	Laguna Blvd	TA-74			
311864	5	N	3	67		11.964	507.257	38.425092	-121.486901		FR	1	Laguna Blvd	TA-74			
311903	50	E	3	67	64000	L.624	3.78	38.566948	-121.506049	.943	ML	3	6th St.	TA-101			
311930	50	E	3	67	64000	L.764	3.92	38.566287	-121.503555		FF	3	FF 5N/SB -> 50EB	TA-101			
311973	50	E	3	67	64000	L1.474	4.63	38.562963	-121.491176		OR	2	13th St.	TA-102			
311974	50	E	3	67	64000	L1.35	4.506	38.563563	-121.493321	.471	ML	5	15th St.	TA-102			
312009	50	E	3	67	64000	L1.139	4.295	38.56453	-121.496992		FR	2	15th St	TA-102			
312010	50	W	3	67	64000	L1.351	4.507	38.563789	-121.493211	.471	ML	5	15th St	TA-103			
312011	50	W	3	67	64000	L1.154	4.31	38.564698	-121.49663		OR	2	15th St	TA-103			
312012	50	W	3	67	64000	L1.503	4.659	38.563078	-121.49057		FR	1	10th St	TA-103			
312098	50	E	3	67	64000	L2.394	5.55	38.558884	-121.475138	.511	ML	4	28th St	TA-106			
312099	50	E	3	67	64000	L2.414	5.57	38.558836	-121.474779		OR	1	28th St	TA-106			
312103	50	W	3	67	64000	R.595	6.229	38.561005	-121.462852	.768	ML	4	Stockton Blvd	TA-107			
312104	50	W	3	67	64000	R.595	6.229	38.561005	-121.462852		OR	1	Stockton Blvd	TA-107			
312105	50	W	3	67	64000	R.789	6.423	38.560833	-121.45929		FR	2	Stockton Blvd	TA-107			
312108	50	W	3	67	64000	L2.457	5.613	38.559006	-121.473917		FR	1	26th St	TA-106			
312132	5	S	3	67		10.89	506.183	38.409697	-121.484102	.585	ML	2	Elk Grove Blvd	TA-70			
